link,sentiment,hourGroup_aprem,hourGroup_finAprem,hourGroup_matin,hourGroup_nuit,hourGroup_soirTard,hourGroup_tresTot,dow_Friday,dow_Monday,dow_Saturday,dow_Sunday,dow_Thursday,dow_Tuesday,dow_Wednesday,season_automne,season_ete,season_hiver,season_printemps,timeSinceLastPost,nbCarac,nbHashtags,nbMentions,nbEmojis,relevantTopic_autre,relevantTopic_coupeDuMonde,relevantTopic_electionsParlementaires,relevantTopic_electionsPresidentielles,relevantTopic_guerreUkraine,relevantTopic_reformeRetraite,newspaper_lefigarofr,newspaper_lesechos,newspaper_lhumanitefr,newspaper_liberationfr,newspaper_valeurs_actuelles
CafF9DsIOSM,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1700,835,1,0,0,0,0,0,0,1,0,1,0,0,0,0
CafJa_Ho00k,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1891,354,2,0,0,1,0,0,0,0,0,1,0,0,0,0
Cag277XIG7_,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,57344,633,4,0,1,0,0,0,0,1,0,1,0,0,0,0
CahBNHvoyA_,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5384,596,5,0,1,0,0,0,0,1,0,1,0,0,0,0
CahiErKIjRQ,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,17232,870,2,0,1,1,0,0,0,0,0,1,0,0,0,0
CaiEn5coXb1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,18166,392,5,0,0,1,0,0,0,0,0,1,0,0,0,0
CajtKk3oO9p,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,54759,1042,4,0,0,0,0,0,0,1,0,1,0,0,0,0
CakH2vDIAOg,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,13993,755,4,0,1,0,0,0,0,1,0,1,0,0,0,0
CakY0HRIgxQ,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,8917,484,4,0,0,0,0,0,0,1,0,1,0,0,0,0
CamIDoSMT5r,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,58297,800,3,0,0,0,0,0,0,1,0,1,0,0,0,0
