link,nb_likes,nb_post_comments,likesPerSubs,commentsPerSubs,subs
CbMvD0EoD8w,1053,47,2857.2445117335355,127.53133148288335,0.36853688778673277
CbM3vRMoHrw,870,58,2360.686348725713,157.37908991504753,0.36853688778673277
CbNahSKoGuG,5106,247,13854.786777693667,670.2178484313231,0.36853688778673277
CbNj8VMoiqw,607,17,1647.0535789385146,46.12835394061738,0.36853688778673277
CbNpKsqokia,2573,107,6981.662040541678,290.3372865674153,0.36853688778673277
CbN3usMInIz,199,1,539.9730843636976,2.7134325847421987,0.36853688778673277
CbPJHDOqMuI,757,10,2054.0684666498446,27.134325847421987,0.36853688778673277
CbPVkDzrMjQ,1327,86,3600.725039952898,233.35520228782912,0.36853688778673277
CbQAY6Co61S,1575,19,4273.656320968963,51.55521911010178,0.36853688778673277
CbQJLT3oHde,1327,109,3600.725039952898,295.7641517368997,0.36853688778673277
CbQdSKLoTFl,229,3,621.3760619059635,8.140297754226596,0.36853688778673277
CbRybzboZyt,2782,54,7548.769450752798,146.52535957607873,0.36853688778673277
CbR1nSLIzX5,1968,51,5340.035326772648,138.38506182185213,0.36853688778673277
CbR8-VWofIL,669,13,1815.286399192531,35.274623601648585,0.36853688778673277
CbSDgPeIndV,1796,126,4873.324922196989,341.8925056775171,0.36853688778673277
CbSdI8DoElU,2867,117,7779.411220455884,317.4716124148373,0.36853688778673277
CbTTUWtIciM,3357,30,9108.993186979562,81.40297754226597,0.36853688778673277
CbUk8DNK4LA,3038,41,8243.408192446801,111.25073597443016,0.36853688778673277
CbUrKwvoO3u,905,10,2455.65648919169,27.134325847421987,0.36853688778673277
CbU-Wr5oycA,796,21,2159.8923374547903,56.982084279586175,0.36853688778673277
CbViJ2VoF2W,1506,86,4086.4294726217513,233.35520228782912,0.36853688778673277
CbW-s1JI50f,1498,39,4064.722011943814,105.82387080494576,0.36853688778673277
CbXElaFIeds,2819,122,7649.166456388259,331.03877533854825,0.36853688778673277
CbXzinKBXmn,1408,43,3820.513079317016,116.67760114391456,0.36853688778673277
CbX3xUwIyWR,238,3,645.7969551686433,8.140297754226596,0.36853688778673277
CbYG9afID-Y,3366,125,9133.41408024224,339.17907309277484,0.36853688778673277
CbYT1d4oJmZ,2422,71,6571.933720245605,192.65371351669611,0.36853688778673277
CbZXe8CIE_a,3267,101,8864.784254352764,274.0566910589621,0.36853688778673277
CbZj7KzI_oa,1874,65,5084.9726638068805,176.37311800824293,0.36853688778673277
CbZ6_c2IhJx,1858,76,5041.557742451006,206.22087644040712,0.36853688778673277
Cbb9DjcI-u1,1576,91,4276.369753553706,246.9223652115401,0.36853688778673277
CbcVVT8ojAR,798,29,2165.3192026242746,78.68954495752376,0.36853688778673277
CbcpJ-Lo5bu,1780,43,4829.910000841114,116.67760114391456,0.36853688778673277
CbctZsYBJCh,1437,53,3899.2026242745396,143.81192699133655,0.36853688778673277
Cbc-0iroVIM,1358,30,3684.8414500799063,81.40297754226597,0.36853688778673277
CbdD5mPp_Ye,2625,143,7122.760534948272,388.02085961813447,0.36853688778673277
CbdD4rpoQXG,1475,75,4002.3130624947435,203.50744385566492,0.36853688778673277
CbdZc8jLPpv,322,9,873.7252922869881,24.42089326267979,0.36853688778673277
Cbejh4zopTR,2177,53,5907.142736983767,143.81192699133655,0.36853688778673277
Cbevgb-L68r,1405,45,3812.3727815627894,122.10446631339894,0.36853688778673277
CbeycrAvhaC,227,1,615.9491967364792,2.7134325847421987,0.36853688778673277
Cbe9cApv2Eb,783,38,2124.6177138531416,103.11043822020356,0.36853688778673277
Cbfbo-BoeBH,707,14,1918.3968374127346,37.988056186390786,0.36853688778673277
CbfjeyxhM0a,961,62,2607.608713937253,168.23282025401633,0.36853688778673277
Cbfy_GKILXV,226,2,613.2357641517369,5.4268651694843975,0.36853688778673277
CbhUk4foxZb,1096,33,2973.9221128774498,89.54327529649257,0.36853688778673277
CbhXI24o3yY,2024,55,5491.98755151821,149.23879216082094,0.36853688778673277
Cbhj-psoTuz,1085,40,2944.0743544452857,108.53730338968795,0.36853688778673277
Cbh1B3GIyi6,3203,106,8691.124568929263,287.6238539826731,0.36853688778673277
Cbh29t8ouVK,265,7,719.0596349566827,18.994028093195393,0.36853688778673277
Cbh5k4OKGAA,842,17,2284.7102363529316,46.12835394061738,0.36853688778673277
Cbh8ONNI7ea,1259,67,3416.211624190428,181.7999831777273,0.36853688778673277
Cbj9K2OoOp2,852,23,2311.8445622003533,62.408949449070576,0.36853688778673277
CbkBsSuIuaS,307,6,833.0238035158551,16.280595508453192,0.36853688778673277
